*
* The data are taken from: Max scenario B
*
*
*
&Data
   Name  = 'LHEC NC ele pp cross section D4:datlhec760ncem'
   IndexDataset = 2004
   Reaction = 'NC e+-p'

 ! Data table definitions:
   NData   =  159
   NColumn =  19   ! 3 bins, 3 ignore  sigma and 9 errors

 ! Layout of the data table columns: 3 bins, cross-section and 9 errors
 ! The following types are predefined: Bin, Sigma, Error and Dummy (case sensitive!)
  ColumnType = 6*'Bin','Sigma', 'Dummy', 11*'Error'

  ColumnName = 'Q2','x', 'y',3*'ignore', 'reduced x-section','ignore', 'stat','uncor', 2*'ignore','eelen', 'ethee', 'ehadr', 'radco', 'egamp', 'effic', 'enois'

 ! options for bins: depends on Reaction type, for NC e+-p these are 'x', 'Q2' and 'y'
 ! options for the errors: 'stat', 'uncor', 'ignore' or different names for correlated uncertainties


 ! Extra information for the x-section calculation:
   !NInfo    = 4
   !DataInfo =  1296 ,     -1.  ,  1.     ,   -0.8
   !CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   TermName = 'R'
   TermSource = 'use:hf_scheme_DISNC'
   TermInfo = 'type=sigred:flav=incl:echarge=-1:epolarity=-0.8'
   TheorExpr = 'R'

   Percent  = 19*True

&END
*        Ep        Ee   eCharge      ePol    Lumifb    lhapdf        NC        CC     itarg    erunco 1 0.5
*     7000.       60.       -1.      -0.8     1000.0     21000         1         0         1      0.70 1 0.5
*
*      q2         x       y  thetae  thetaj        f2    sigrNC    nevent estat eunco esyst  etot eelen ethee ehadr radco egamp effic enois 
2	2E-06	0.5952	177.9	1.4	2.55899	1.5434	150000000000	0.1	0.5	1.19	1.29	0.05	0.27	0.07	0.3	1	0.5	0
2	5E-06	0.2381	178.5	4.9	1.63468	1.321	110000000000	0.1	0.5	0.78	0.92	0.06	0.5	0.07	0.3	0	0.5	0
2	8.5E-06	0.1401	178.5	8.9	1.36712	1.1983	44000000000	0.1	0.5	0.84	0.98	0.07	0.6	0.1	0.3	0	0.5	0
2	2E-05	0.0595	178.6	21.7	1.05922	1.0177	120000000000	0.1	0.5	0.9	1.03	0.08	0.68	0.1	0.3	0	0.5	0
2	5E-05	0.0238	178.6	52.1	0.85115	0.85096	74000000000	0.1	0.5	0.95	1.08	0.08	0.74	0.1	0.3	0	0.5	0
2	8.5E-05	0.014	178.6	79.8	0.76217	0.76707	28000000000	0.1	0.5	0.97	1.09	0.09	0.77	0.09	0.3	0	0.5	0
2	0.0002	0.006	178.6	126.3	0.64789	0.65111	75000000000	0.1	0.5	1.98	2.04	0.09	0.79	0.09	0.3	0	0.5	1.71
2	0.0005	0.0024	178.6	157.1	0.55182	0.55262	49000000000	0.1	0.5	2.24	2.29	0.09	0.8	0.08	0.3	0	0.5	2
2	0.00085	0.0014	178.6	166.4	0.50554	0.50699	16000000000	0.1	0.5	2.38	2.43	0.09	0.78	0.08	0.3	0	0.5	2.17
5	5E-06	0.5952	176.6	2.3	3.18775	1.7527	81000000000	0.1	0.5	1.2	1.3	0.08	0.32	0.06	0.3	1	0.5	0
5	8.5E-06	0.3501	177.4	4.9	2.55745	1.6668	35000000000	0.1	0.5	0.7	0.86	0.08	0.37	0.06	0.3	0	0.5	0
5	2E-05	0.1488	177.7	13.2	1.85422	1.4835	95000000000	0.1	0.5	0.71	0.87	0.07	0.39	0.09	0.3	0	0.5	0
5	5E-05	0.0595	177.8	33.8	1.40671	1.277	61000000000	0.1	0.5	0.72	0.87	0.07	0.4	0.11	0.3	0	0.5	0
5	8.5E-05	0.035	177.8	55.2	1.22442	1.1623	23000000000	0.1	0.5	0.72	0.88	0.07	0.41	0.11	0.3	0	0.5	0
5	0.0002	0.0149	177.8	102.4	0.99916	0.99139	59000000000	0.1	0.5	0.73	0.88	0.07	0.42	0.1	0.3	0	0.5	0
5	0.0005	0.006	177.9	144.5	0.81692	0.83228	38000000000	0.1	0.5	1.87	1.93	0.08	0.44	0.1	0.3	0	0.5	1.71
