 !*  File produced by HERAVerager and OT
 !*  Created on 20140725

&Data
  Name = "EIC CCep 18x275 realistic"
  Reaction = "CC e+-p"
  NData =    88
  NColumn =   11
  ColumnType = 6*"Bin",4*"Error","Sigma"
  ColumnName = "x","Q2","y","W","ignore", "lumi", "stat", "uncor","normCC18x275","ignore", "Sigma"

  TermName = 'R'
  TermSource = 'use:hf_scheme_DISCC'
  TermInfo = 'type=signonred:flav=incl:echarge=-1:epolarity=0'
  TheorExpr = 'R'

!  CInfo = "sqrt(S)", "e charge", "reduced", "e polarity"
!  DataInfo =     0.140712E+03,   -0.1000E+01,    0.0000E+00,    0.0000E+00,

  IndexDataset =   3001
  Percent = 172*true
&End
0.0761  400          0.265           4856     0.75454E-01      15.40	4.102659891	2	2.50      9.66447179648       0.0787744    	
0.108   400          0.188           3321     0.49835E-01      15.40	4.281036408	2	2.50      -2.5797215947       0.046219     	
0.152   400          0.133           2235     0.32249E-01      15.40	4.433930566	2	2.50      3.10054069692       0.0316529    	
0.215   400         0.0942           1466     0.19776E-01      15.40	4.867130678	2	2.50      6.17085656276       0.0199885    	
0.303   400         0.0667            921     0.10968E-01      15.40	5.580636746	2	2.50      1.2656447537        0.0105737    	
0.428   400         0.0472          535.5     0.46052E-02      15.40	7.568260793	2	2.50      4.20572891924       0.00456854   	
0.605   400         0.0334          262.5     0.89796E-03      15.40	13.81143889	2	2.50      -5.02222462952      0.000811925  
0.854   400         0.0237          69.28     0.78844E-05      15.40	80.52425625	2	2.50     -155.938341738       4.1987e-06   
0.0539  700          0.656      1.229e+04     0.90838E-01      15.40	4.663271802	2	2.50      -5.4455006261       0.0817686    	
0.0761  700          0.465           8498     0.64736E-01      15.40	4.7906836	2	2.50      3.55026331689       0.0638167    
0.108   700          0.329           5812     0.43900E-01      15.40	4.714236521	2	2.50      0.60513711752       0.0420457    	
0.152   700          0.233           3910     0.28772E-01      15.40	4.918095397	2	2.50      8.18173536134       0.029632     
0.215   700          0.165           2564     0.17669E-01      15.40	5.147436634	2	2.50      -3.3172478112       0.0162629    	
0.303   700          0.117           1611     0.97170E-02      15.40	6.447036972	2	2.50      0.15065989497       0.00926452   
0.428   700         0.0826          936.4     0.40055E-02      15.40	7.950496186	2	2.50      5.78081371344       0.00403367   
0.605   700         0.0585          458.7     0.75650E-03      15.40	15.51875698	2	2.50      32.5082537453       0.000954309  
0.854   700         0.0414          120.6     0.62123E-05      15.40	80.52425625	2	2.50      59.0378765117       9.40567e-06  	
0.0761  1e+03          0.664      1.214e+04   0.56547E-01      15.40	4.969060117	2	2.50      3.20352540854       0.0555573    	
0.108   1e+03           0.47           8302   0.39055E-01      15.40	4.816165959	2	2.50      0.828027415428      0.0374882    	
0.152   1e+03          0.333           5586   0.25906E-01      15.40	5.096471914	2	2.50      5.13982415258       0.0259301    	
0.215   1e+03          0.235           3663   0.15971E-01      15.40	5.096471914	2	2.50      -1.23772061876      0.0150162    	
0.303   1e+03          0.167           2301   0.87502E-02      15.40	6.319625174	2	2.50      -1.27714759466      0.0082238    	
0.428   1e+03          0.118           1337   0.35689E-02      15.40	9.020755288	2	2.50      0.550136726467      0.00341628   	
0.605   1e+03         0.0835           655    0.66136E-03      15.40	19.54496979	2	2.50     -15.9893183373       0.000528944  	
0.854   1e+03         0.0591          171.9   0.52168E-05      15.40	80.52425625	2	2.50      -2.42230561404      4.84609e-06  	
0.108   1.4e+03          0.658  1.162e+04     0.33910E-01      15.40	1.737896923	2	2.50      -4.51804057628      0.0308238    	
